No.	Data Type	Column 1	Column 2	Column 3	Column 4			
1	Slope	GeoSpatial Data Gateway	Digital Elevation model	1m to 3m	Only available in US			Cartosat-1 DEM can be downloaded from Bhuvan
2	Aspect	GeoSpatial Data Gateway	Digital Elevation model	1m to 3m	Only available in US			
3	Curvature	GeoSpatial Data Gateway	Digital Elevation model	1m to 3m	Only available in US			
4	Terrain Roughness Index	GeoSpatial Data Gateway	Digital Elevation model	1m to 3m	Only available in US		Find the formula for it	
5	Topographic Wetness Index						Find the formula for it	
6	Distance from River		National Hydrography Dataset | U.S. Geological Survey		Only available in US		Need new source for India	
7	Drainage Density		National Hydrography Dataset | U.S. Geological Survey		Only available in US		Need new source for India	
8	Groundwater Table Depth/Fluctuation	Link from Dr.Panda for india	USGS NWIS Only available in US		Only available in US			
9	Distance from Road	Open Street Map	https://www.openstreetmap.org/					
10	Road-Cut Density	Open Street Map	https://www.openstreetmap.org/					
11	Building Density and Human Exposure	MLRC for US	Sentinal data					
12	LULC	MLRC for US	Thru Landsat data	Need cleanup				
13	LULC Change Rate	MLRC for US	Thru Landsat data	Need cleanup				
15	Lineament Density	Take from thesis						
16	Lithology	Take from thesis						
17	Soil Density							
18	Sand %	United nations FAO and look at thesis 						
19	Clay %	United nations FAO and look at thesis 						
20	Silt %	United nations FAO and look at thesis 						
21	Soil Depth / Weathering Thickness		Link	Aparently it is really really important in a state like kerala. Geomorphology reports from Bhukosh. Havent found a link yet				
22	Normal Annual Rainfall	India Meteorological Department	Link	Monson rainfall intensity could be intropolated				
23	Rainfall Intensity	India Meteorological Department	Link	Monson rainfall intensity 				
24	Antecedent Rainfall (3/7/15-day cumulative)	India Meteorological Department	Link	Monson rainfall intensity could be intropolated				
25	Sentinel-1 InSAR Surface Deformation	Thru Earth Explorer to get it 						
26	SMAP Soil Moisture	NASA Apperrs database						
27	Land Surface Temperature (LST)	NASA Apperrs database from ecostress						
28	NDVI	Create from sentinel or landsat						
29	Historical Landslide data	Look into downloading in point shape file						
