No.|Parameter|Data status|Primary source|Primary link|Secondary / alternative|Secondary link|Processing / notes
1|Slope|Derived|Bhuvan CartoDEM / NRSC|https://bhuvan.nrsc.gov.in/|Copernicus DEM GLO-30|https://dataspace.copernicus.eu/|Derive from DEM. Do not list 1–3 m as an India-wide source; CartoDEM/GLO-30 are ~30 m products.
2|Aspect|Derived|Bhuvan CartoDEM / NRSC|https://bhuvan.nrsc.gov.in/|Copernicus DEM GLO-30|https://dataspace.copernicus.eu/|Derive from the same DEM used for slope.
3|Curvature|Derived|Bhuvan CartoDEM / NRSC|https://bhuvan.nrsc.gov.in/|Copernicus DEM GLO-30|https://dataspace.copernicus.eu/|Derive profile/plan/total curvature in GIS; document the curvature definition used.
4|Terrain Roughness Index|Derived|Bhuvan CartoDEM / NRSC|https://bhuvan.nrsc.gov.in/|Copernicus DEM GLO-30|https://dataspace.copernicus.eu/|Use a defined TRI method, e.g. Riley et al. 1999: square root of the sum of squared elevation differences between the center cell and its 8 neighbors.
5|Topographic Wetness Index|Derived|Bhuvan CartoDEM / NRSC|https://bhuvan.nrsc.gov.in/|HydroSHEDS|https://www.hydrosheds.org/hydrosheds-core-downloads|Common form: TWI = ln(a / tan β), where a is specific catchment area and β is local slope. Use a consistent flow-routing method.
6|Distance from River|Derived|HydroRIVERS|https://www.hydrosheds.org/products/hydrorivers|India-WRIS|https://indiawris.gov.in/|Compute Euclidean distance to the selected river/stream network. Define minimum stream order or channel threshold.
7|Drainage Density|Derived|HydroRIVERS|https://www.hydrosheds.org/products/hydrorivers|HydroSHEDS|https://www.hydrosheds.org/hydrosheds-core-downloads|Drainage density = total stream length / area. Results depend strongly on the stream-network threshold and DEM resolution.
8|Groundwater Table Depth / Fluctuation|Direct / derived|Central Ground Water Board (CGWB)|https://cgwb.gov.in/en/ground-water-level-monitoring|India-WRIS|https://indiawris.gov.in/|Use CGWB monitoring-well observations. Depth-to-water and seasonal/annual fluctuation can be calculated from the time series; spatial interpolation should be documented.
9|Distance from Road|Derived|OpenStreetMap|https://www.openstreetmap.org/|Geofabrik India extract|https://download.geofabrik.de/asia/india.html|Compute distance to roads after filtering by road class. Geofabrik provides a convenient India OSM download.
10|Road-Cut Density|Derived|OpenStreetMap|https://www.openstreetmap.org/|Geofabrik India extract|https://download.geofabrik.de/asia/india.html|Not a clean direct OSM variable. Derive from mapped road segments and identify road-cut/slope-intersection features where possible; validate against imagery or road inventories.
11|Building Density and Human Exposure|Derived|Microsoft Global ML Building Footprints|https://github.com/microsoft/GlobalMLBuildingFootprints|Global Human Settlement Layer (GHSL)|https://human-settlement.emergency.copernicus.eu/downloadWizard.php|Building density can be derived from footprint area/count. Human exposure should use population, not buildings alone. GHSL provides built-up and population grids; WorldPop is an alternative.
12|LULC|Direct / derived|Dynamic World 10 m|https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1|ESA WorldCover 10 m|https://esa-worldcover.org/en/data-access|Use one consistent classification product. Dynamic World is useful for time series; WorldCover is a stable 2020/2021 reference map.
13|LULC Change Rate|Derived|Dynamic World 10 m|https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1|Landsat data / EarthExplorer|https://earthexplorer.usgs.gov/|Calculate annual or period change from classified maps. Define the change metric explicitly, e.g. percent of pixels changing class per year.
14|Lineament Density|Derived|GSI BHUKOSH / geological datasets|https://bhukosh.gsi.gov.in/|Bhuvan / NRSC geospatial data|https://bhuvan.nrsc.gov.in/|Requires a lineament layer. Calculate total lineament length per unit area; if extracting lineaments from imagery/DEM, document extraction method and scale.
15|Lithology|Direct|GSI BHUKOSH|https://bhukosh.gsi.gov.in/|CGWB aquifer/geological reports|https://cgwb.gov.in/cgwbpnm/|Use the most detailed available geological/lithological map for the study area. Avoid substituting broad soil classes for lithology.
16|Soil Bulk Density|Direct|ISRIC SoilGrids 250 m|https://www.isric.org/explore/soilgrids|SoilGrids data access|https://files.isric.org/soilgrids/latest/data/|Interpret the original 'Soil Density' field as bulk density unless the project defines another density. SoilGrids provides bulk density at six standard depths.
17|Sand %|Direct|ISRIC SoilGrids 250 m|https://www.isric.org/explore/soilgrids|SoilGrids data access|https://files.isric.org/soilgrids/latest/data/|Use the depth interval relevant to the model. SoilGrids provides sand content at six standard depths.
18|Clay %|Direct|ISRIC SoilGrids 250 m|https://www.isric.org/explore/soilgrids|SoilGrids data access|https://files.isric.org/soilgrids/latest/data/|Use the depth interval relevant to the model. SoilGrids provides clay content at six standard depths.
19|Silt %|Direct|ISRIC SoilGrids 250 m|https://www.isric.org/explore/soilgrids|SoilGrids data access|https://files.isric.org/soilgrids/latest/data/|Use the depth interval relevant to the model. SoilGrids provides silt content at six standard depths.
20|Soil Depth / Weathering Thickness|Direct / derived|ICAR-NBSS&LUP digital soil depth map|https://icar.gov.in/en/landmark-technologies-1|GSI BHUKOSH / geomorphology and geological reports|https://bhukosh.gsi.gov.in/|ICAR-NBSS&LUP reports a 90 m digital soil-depth map. Weathering thickness is a different variable and may require GSI/field/geotechnical sources.
21|Normal Annual Rainfall|Derived|India Meteorological Department gridded rainfall|https://imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html|NASA GPM IMERG|https://gpm.nasa.gov/data/imerg|For long-term climatology, use IMD daily gridded rainfall and calculate the chosen normal period. Do not mix a short satellite record with a climatological normal without stating the period.
22|Rainfall Intensity|Direct / derived|NASA GPM IMERG 30-min precipitation|https://gpm.nasa.gov/data/imerg|IMD gridded rainfall|https://imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html|IMERG provides 30-minute precipitation and precipitation-rate products. For landslide work, define whether intensity means peak 30-min, 1-h, 3-h, or event-total intensity.
23|Antecedent Rainfall (3/7/15-day cumulative)|Derived|IMD gridded daily rainfall|https://imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html|NASA GPM IMERG|https://gpm.nasa.gov/data/imerg|Calculate rolling cumulative rainfall over 3, 7 and 15 days. Keep the rainfall grid/resolution and missing-data treatment consistent.
24|Sentinel-1 InSAR Surface Deformation|Direct / derived|ASF Sentinel-1 SLC / HyP3|https://asf.alaska.edu/asf-services/|ASF Vertex|https://vertex-plus.asf.alaska.edu/|SLC is required for interferometry. For India, use Sentinel-1 SLC and process InSAR yourself or use an appropriate ASF workflow. NASA OPERA DISP-S1 is currently North America-only, so it is not a direct India source.
25|SMAP Soil Moisture|Direct|NASA SMAP / NSIDC|https://nsidc.org/data/smap|NASA Earthdata SMAP collections|https://www.earthdata.nasa.gov/|Choose an appropriate SMAP product/resolution. Native products are relatively coarse for local landslide susceptibility, so record the resampling/downscaling method if used.
26|Land Surface Temperature (LST)|Direct|NASA ECOSTRESS / LP DAAC|https://www.earthdata.nasa.gov/centers/lp-daac|NASA Earthdata ECOSTRESS collections|https://www.earthdata.nasa.gov/|ECOSTRESS provides ~70 m LST products. Consider MODIS/VIIRS as a higher-temporal-frequency alternative if needed.
27|NDVI|Derived|Sentinel-2|https://dataspace.copernicus.eu/|USGS Landsat / EarthExplorer|https://earthexplorer.usgs.gov/|Calculate NDVI from red and near-infrared bands. Sentinel-2 gives higher spatial resolution; Landsat gives a long historical record.
28|Historical Landslide Data|Direct|GSI Bhoosanket / National Landslide Inventory|https://bhusanket.gsi.gov.in/|GSI State-wise landslide reports|https://bhusanket.gsi.gov.in/statewiseLandslideReport.html|GSI provides a field-validated landslide inventory and state-wise reports. Check the download format, fields and temporal completeness for the study area.
