No.	Parameter	Category	Data Status	Primary Source	Primary Link	Secondary Source	Secondary Link	Notes
1	Slope	Terrain	Derived	Bhuvan CartoDEM / NRSC	https://bhuvan.nrsc.gov.in/	Copernicus DEM GLO-30	https://dataspace.copernicus.eu/	Derive from DEM
2	Curvature	Terrain	Derived	Bhuvan CartoDEM / NRSC	https://bhuvan.nrsc.gov.in/	Copernicus DEM GLO-30	https://dataspace.copernicus.eu/	Derive profile/plan/total curvature; document definition used
3	Terrain Roughness Index (TRI)	Terrain	Derived	Bhuvan CartoDEM / NRSC	https://bhuvan.nrsc.gov.in/	Copernicus DEM GLO-30	https://dataspace.copernicus.eu/	Riley et al. 1999 method: sqrt(sum((z_i - z_0)^2)) over 8 neighbors
4	Topographic Wetness Index (TWI)	Terrain	Derived	Bhuvan CartoDEM / NRSC	https://bhuvan.nrsc.gov.in/	HydroSHEDS	https://www.hydrosheds.org/hydrosheds-core-downloads	TWI = ln(a / tan beta); document flow-routing method
5	Drainage Density	Hydrology	Derived	HydroRIVERS	https://www.hydrosheds.org/products/hydrorivers	HydroSHEDS	https://www.hydrosheds.org/hydrosheds-core-downloads	Total stream length / area; sensitive to stream-order threshold
6	Distance from Road	Infrastructure	Derived	OpenStreetMap	https://www.openstreetmap.org/	Geofabrik India extract	https://download.geofabrik.de/asia/india.html	Filter by road class before computing distance
7	LULC	Land Cover	Direct / Derived	Dynamic World 10m	https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1	ESA WorldCover 10m	https://esa-worldcover.org/en/data-access	Use one consistent classification product
8	Lineament Density	Geology	Derived	GSI BHUKOSH	https://bhukosh.gsi.gov.in/	Bhuvan / NRSC geospatial data	https://bhuvan.nrsc.gov.in/	Total lineament length per unit area
9	Lithology	Geology	Direct	GSI BHUKOSH	https://bhukosh.gsi.gov.in/	CGWB aquifer/geological reports	https://cgwb.gov.in/cgwbpnm/	Use most detailed available geological map
10	Soil Bulk Density	Soil	Direct	ISRIC SoilGrids 250m	https://www.isric.org/explore/soilgrids	SoilGrids data access	https://files.isric.org/soilgrids/latest/data/	Six standard depths available; pick relevant depth
11	Sand %	Soil	Direct	ISRIC SoilGrids 250m	https://www.isric.org/explore/soilgrids	SoilGrids data access	https://files.isric.org/soilgrids/latest/data/	Six standard depths available; pick relevant depth
12	Clay %	Soil	Direct	ISRIC SoilGrids 250m	https://www.isric.org/explore/soilgrids	SoilGrids data access	https://files.isric.org/soilgrids/latest/data/	Six standard depths available; pick relevant depth
13	Silt %	Soil	Direct	ISRIC SoilGrids 250m	https://www.isric.org/explore/soilgrids	SoilGrids data access	https://files.isric.org/soilgrids/latest/data/	Six standard depths available; pick relevant depth
14	Normal Annual Rainfall	Climate	Derived	IMD Gridded Rainfall	https://imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html	NASA GPM IMERG	https://gpm.nasa.gov/data/imerg	Use IMD daily gridded data; define climatology period
15	Rainfall Intensity	Climate	Direct / Derived	NASA GPM IMERG 30-min precipitation	https://gpm.nasa.gov/data/imerg	IMD Gridded Rainfall	https://imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html	Define time window: peak 30-min, 1-h, 3-h, or event-total
16	Antecedent Rainfall (3/7/15-day)	Climate	Derived	IMD Gridded Daily Rainfall	https://imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html	NASA GPM IMERG	https://gpm.nasa.gov/data/imerg	Rolling cumulative rainfall over 3, 7, 15 days
17	NDVI	Vegetation	Derived	Sentinel-2	https://dataspace.copernicus.eu/	USGS Landsat / EarthExplorer	https://earthexplorer.usgs.gov/	Calculate from red and NIR bands
18	Building Density	Human/Development	Derived	Microsoft Global ML Building Footprints	https://github.com/microsoft/GlobalMLBuildingFootprints	Global Human Settlement Layer (GHSL)	https://human-settlement.emergency.copernicus.eu/downloadWizard.php	Derive from footprint area/count
19	Land Surface Temperature (LST)	Climate	Direct	NASA ECOSTRESS / LP DAAC	https://www.earthdata.nasa.gov/centers/lp-daac	NASA Earthdata ECOSTRESS collections	https://www.earthdata.nasa.gov/	~70m LST product; MODIS/VIIRS as higher-frequency alternative
20	Historical Landslide Data (Target/Labels)	Target	Direct	GSI Bhoosanket / National Landslide Inventory	https://bhusanket.gsi.gov.in/	GSI State-wise landslide reports	https://bhusanket.gsi.gov.in/statewiseLandslideReport.html	Positive class labels; check format, fields, temporal completeness
